municipio,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,status_extracao,arquivo_origem
Maribondo,BRUNO ZEFERINO DO CARMO TEIXEIRA,JOSÉ UBIRATAN FERREIRA NUNES,PSB,40,5081,56.41,JORGE ANTÔNIO AMORIM MARQUES LUZ,PP,3927.0,43.59,1154.0,12.819999999999993,OK,619_AL_MARIBONDO_2024_T1.pdf
Mata Grande,MARIA FABIANA FARIAS DE ALENCAR,VINICIUS CAMPOS BRANDÃO CARVALHO,MDB,15,7728,53.97,WALLYSSON FIRMO DE HOLANDA SOARES,PSB,6591.0,46.03,1137.0,7.939999999999998,OK,619_AL_MATA-GRANDE_2024_T1.pdf
Matriz De Camaragibe,FERNANDO HENRIQUE LIMA CAVALCANTE,CLAUDIO RAMON SILVA DANTAS,MDB,15,10842,75.52,MARCOS PAULO DO NASCIMENTO,PP,3208.0,22.34,7634.0,53.17999999999999,OK,619_AL_MATRIZ-DE-CAMARAGIBE_2024_T1.pdf
Messias,MARCOS JOSÉ HERCULANO DA SILVA,MARCOS VALÉRIO DOS SANTOS,REPUBLICANOS,10,7223,62.13,JARBAS MAYA DE OMENA FILHO,PP,3407.0,29.31,3816.0,32.82000000000001,OK,619_AL_MESSIAS_2024_T1.pdf
Minador Do Negrão,JOSIAS SOARES DA SILVA,HELDER ARAUJO SOUZA BARROS,MDB,15,2702,63.56,JOSE EMILIO TENORIO BARROS,PSB,1549.0,36.44,1153.0,27.120000000000005,OK,619_AL_MINADOR-DO-NEGRÃO_2024_T1.pdf
Monteirópolis,LEONOR MELO MONTEIRO,FABIO MARCELO MONTEIRO JÚNIOR,MDB,15,2863,57.92,LIDIA DIELLY SILVA SANTOS,PODE,2080.0,42.08,783.0,15.840000000000003,OK,619_AL_MONTEIRÓPOLIS_2024_T1.pdf
Murici,REMI VASCONCELOS CALHEIROS FILHO,DAYVIDSON TENÓRIO VASCONCELOS,MDB,15,10363,66.01,EDUARDO CESAR DE OLIVEIRA,PP,4338.0,27.63,6025.0,38.38000000000001,OK,619_AL_MURICI_2024_T1.pdf
Novo Lino,MARCELA SILVA GOMES DE BARROS,RIVALDO DA SILVA GOMES,MDB,15,5935,75.24,JOSE EDUARDO DOS SANTOS SALES,PL,1953.0,24.76,3982.0,50.47999999999999,OK,619_AL_NOVO-LINO_2024_T1.pdf
Olho D'Água Das Flores,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,CLEMENS SANTANA MACHADO,MDB,15,8611,70.26,ALYSON FELIX DUARTE DANTAS,PL,3400.0,27.74,5211.0,42.52000000000001,OK,619_AL_OLHO-D'ÁGUA-DAS-FLORES_2024_T1.pdf
Olho D'Água Do Casado,CARLOS ALBERTO BEZERRA DA SILVA,JOÃO DE DEUS DIAS DOS SANTOS,PT,13,3267,53.46,MARCOS VIEIRA SOUSA,MDB,2403.0,39.32,864.0,14.14,OK,619_AL_OLHO-D'ÁGUA-DO-CASADO_2024_T1.pdf
Olho D'Água Grande,MARIA SUZANICE HIGINO BAHÉ,WILLAMARA SOUSA DA SILVA,PP,11,2813,63.27,TEREZA DE FATIMA BARBOSA CEDRIM,REPUBLICANOS,1633.0,36.73,1180.0,26.540000000000006,OK,619_AL_OLHO-D'ÁGUA-GRANDE_2024_T1.pdf
Olivença,JOSIMAR DIONISIO,MAURO FERNANDES DA SILVA,MDB,15,4857,59.37,JORGINALDO VIEIRA DE MENESES,REPUBLICANOS,3324.0,40.63,1533.0,18.739999999999995,OK,619_AL_OLIVENÇA_2024_T1.pdf
Ouro Branco,TACIA DENYSE DE SIQUEIRA NOBRE,JOSE ROBERIO DA SILVA,PP,11,5480,67.21,ATEVALDO CABRAL SILVA,MDB,2673.0,32.79,2807.0,34.419999999999995,OK,619_AL_OURO-BRANCO_2024_T1.pdf
Palestina,JOSÉ DJALMA GONÇALVES DA SILVA,ONOFRE COSTA DA SILVA,MDB,15,3292,83.17,DINO CÉSAR DO NASCIMENTO,PP,666.0,16.83,2626.0,66.34,OK,619_AL_PALESTINA_2024_T1.pdf
Palmeira Dos Índios,LUISA JULIA DUARTE,SHEILA MARIA DUARTE,MDB,15,23994,57.43,MOSABELLE RODRIGUES BRASILEIRO MONTEIRO,REPUBLICANOS,13192.0,31.57,10802.0,25.86,OK,619_AL_PALMEIRA-DOS-ÍNDIOS_2024_T1.pdf
Pariconha,ANTONIO TELMO NOIA,MARIA DE FATIMA FARIAS DE PAULA CARVALHO,MDB,15,4892,67.08,PEDRO PEREIRA DE SÁ JUNIOR,PT,2401.0,32.92,2491.0,34.16,OK,619_AL_PARICONHA_2024_T1.pdf
Paripueira,CARLOS ABRAHÃO GOMES DE MOURA,CARLOS AUGUSTO SOUSA DE CASTRO,MDB,15,7170,70.08,EDVANIO DE LIMA SANTOS,REPUBLICANOS,3061.0,29.92,4109.0,40.16,OK,619_AL_PARIPUEIRA_2024_T1.pdf
Passo De Camaragibe,ELLISSON SANTOS DA SILVA,ADEILDO PETRÚCIO DOS SANTOS,REPUBLICANOS,10,6934,67.44,MARIA LAVÍNIA FARIAS QUIRINO COSTA,MDB,3347.0,32.56,3587.0,34.879999999999995,OK,619_AL_PASSO-DE-CAMARAGIBE_2024_T1.pdf
Paulo Jacinto,FRANCISCO MANOEL FERREIRA FONTAN,MARIA ZILDA DE ASSUNÇÃO TENÓRIO,PP,11,3233,59.8,FABRICIO BERTO FAUSTINO,PSB,2173.0,40.2,1060.0,19.599999999999994,OK,619_AL_PAULO-JACINTO_2024_T1.pdf
Penedo,RONALDO PEREIRA LOPES,JOSÉ EVALDO DOS SANTOS MONTEIRO,MDB,15,24059,71.33,MARCIUS BELTRÃO SIQUEIRA,PDT,9672.0,28.67,14387.0,42.66,OK,619_AL_PENEDO_2024_T1.pdf
Piaçabuçu,RYMES MARINHO LESSA,CARLOS RONALSA BELTRAO COELHO DA PAZ,MDB,15,5010,42.53,KAYRO CRISTÓVÃO CASTRO DOS SANTOS,PP,3627.0,30.79,1383.0,11.740000000000002,OK,619_AL_PIAÇABUÇU_2024_T1.pdf
Pilar,MARIA DE FATIMA RESENDE ROCHA OITICICA,TAYRONNE HENRIQUE DOS SANTOS,MDB,15,13008,56.14,ROBERTO DOUGLAS DA SILVA BARROS,PV,5171.0,22.32,7837.0,33.82,OK,619_AL_PILAR_2024_T1.pdf
Pindoba,JOSÉ CICERO CARDOSO COSTA,JOÃO MARÇAL LOPES BELTRÃO,REPUBLICANOS,10,1785,69.13,JOSÉ MAURICIO TENÓRIO CAVALCANTE,PP,797.0,30.87,988.0,38.25999999999999,OK,619_AL_PINDOBA_2024_T1.pdf
Piranhas,TIAGO TORRES FREITAS,JOSE VICENTE RODRIGUES,MDB,15,11565,76.07,MARISTELA SENA DIAS,PP,3638.0,23.93,7927.0,52.13999999999999,OK,619_AL_PIRANHAS_2024_T1.pdf
Porto Calvo,ERONITA SPOSITO LEAO E LIMA,VÍNICIUS LEAO E LIMA CARVALHO,MDB,15,12829,74.18,KLEVISSON KENNEDY DA SILVA SIQUEIRA,PP,3352.0,19.38,9477.0,54.80000000000001,OK,619_AL_PORTO-CALVO_2024_T1.pdf
Porto De Pedras,ALLAN DE JESUS SILVA,EUDA SANTOS SILVA,MDB,15,3691,51.25,LUIZ CARLOS BORGHETTI ROCHA,PP,3497.0,48.56,194.0,2.6899999999999977,OK,619_AL_PORTO-DE-PEDRAS_2024_T1.pdf
Porto Real Do Colégio,HIGOR JOSÉ SANTOS FREITAS,JOSE DE OLIVEIRA,PP,11,9439,66.34,JOSÉ TIAGO DE LIRA,PSB,4790.0,33.66,4649.0,32.68000000000001,OK,619_AL_PORTO-REAL-DO-COLÉGIO_2024_T1.pdf
Poço Das Trincheiras,JOSE VALMIRO GOMES DA COSTA,JOSE ERIVAN RAMOS DA SILVA,MDB,15,3961,44.18,CAIO CÉSAR FERREIRA RODRIGUES,PP,2552.0,28.47,1409.0,15.71,OK,619_AL_POÇO-DAS-TRINCHEIRAS_2024_T1.pdf
Pão De Açúcar,JORGE SILVA DANTAS,ERALDO JOÃO CRUZ ALMEIDA,MDB,15,10379,74.83,ALDO ALVES ROSA,PL,3035.0,21.88,7344.0,52.95,OK,619_AL_PÃO-DE-AÇÚCAR_2024_T1.pdf
Quebrangulo,MANOEL COSTA TENÓRIO,ALFREDO FREDERICO MEDEIROS MAIA FILHO,PSDB,45,2964,36.01,EMANOEL CARDOSO DE ALBUQUERQUE,MDB,2959.0,35.95,5.0,0.05999999999999517,OK,619_AL_QUEBRANGULO_2024_T1.pdf
Rio Largo,PEDRO CARLOS DA SILVA NETO,PETERSON HENRIQUE DA SILVA SANTOS,PP,11,32496,62.99,ANNY IZABELLE TORRES MELO LINS DE SOUZA,PDT,10848.0,21.03,21648.0,41.96,OK,619_AL_RIO-LARGO_2024_T1.pdf
Roteiro,PAULO JOSÉ LEITE TEIXEIRA,JOSIVALDO AUGUSTO DA SILVA,MDB,15,2537,52.41,THIAGO HENRIQUE TEIXEIRA CURSINO,PL,2238.0,46.23,299.0,6.18,OK,619_AL_ROTEIRO_2024_T1.pdf
Santa Luzia Do Norte,FRANCIS CORREIA BARROS DE ARAÚJO,LAUDEMIR BALBINO DOS SANTOS,PP,11,3300,60.07,WERDLEY THIAGO SILVA AMARAL,MDB,2138.0,38.92,1162.0,21.15,OK,619_AL_SANTA-LUZIA-DO-NORTE_2024_T1.pdf
Santana Do Ipanema,JOAO EDUARDO BULHOES PORTELA DE MELO,MÁRIO SIQUEIRA SILVA,MDB,15,16302,64.77,JOSE EDSON MAGALHÃES FELIX,PP,8268.0,32.85,8034.0,31.919999999999995,OK,619_AL_SANTANA-DO-IPANEMA_2024_T1.pdf
Santana Do Mundaú,ANDRÉ LUIZ GOES CASTRO,TARCISIO DE MORAIS ARAUJO,MDB,15,5322,72.96,EDNO LINO DA SILVA,PL,1972.0,27.04,3350.0,45.919999999999995,OK,619_AL_SANTANA-DO-MUNDAÚ_2024_T1.pdf
Satuba,DIOGENES JOSÉ NETO DE AMORIM,LUIS CARLOS ALVES DE LIRA,PP,11,12047,100.0,,,,,,,OK,619_AL_SATUBA_2024_T1.pdf
Senador Rui Palmeira,JOÃO CARLOS RODRIGUES,ALLYSSON FEITOSA DA SILVA,MDB,15,4778,62.64,JACKSON DA ROCHA CORDEIRO JÚNIOR,PP,2566.0,33.64,2212.0,29.0,OK,619_AL_SENADOR-RUI-PALMEIRA_2024_T1.pdf
São Brás,KLINGER QUIRINO SANTOS,MARIA FABIANA DA SILVA SANDES,MDB,15,4123,67.17,JOÃO BEZERRA BORGES,PP,1917.0,31.23,2206.0,35.94,OK,619_AL_SÃO-BRÁS_2024_T1.pdf
São José Da Laje,ANGELA VANESSA ROCHA PEREIRA BEZERRA,RAVENA GRAZYELLE VALENÇA CALDEIRA DE ARAÚJO,MDB,15,8144,61.03,FABRÍCIA REGINA PEDROSA VÉRAS,PL,5200.0,38.97,2944.0,22.060000000000002,OK,619_AL_SÃO-JOSÉ-DA-LAJE_2024_T1.pdf
São José Da Tapera,JARBAS PEREIRA RICARDO,JARIA PEREIRA RICARDO,MDB,15,11679,68.49,JOSE ROMARIO RODRIGUES PEREIRA,PDT,5248.0,30.78,6431.0,37.709999999999994,OK,619_AL_SÃO-JOSÉ-DA-TAPERA_2024_T1.pdf
São Luís Do Quitunde,MARCIA RAFAELA BARROS DE VASCONCELOS,CRISTOPHANES JACQUES UCHOA DE LIMA,MDB,15,10379,55.79,VIVIANE DOS SANTOS SILVA,PP,8225.0,44.21,2154.0,11.579999999999998,OK,619_AL_SÃO-LUÍS-DO-QUITUNDE_2024_T1.pdf
São Miguel Dos Campos,GEORGE CLEMENTE VIEIRA,BENILDO CHAGAS DE OMENA,MDB,15,25796,79.18,PEDRO RICARDO ALVES JATOBÁ,PRD,6782.0,20.82,19014.0,58.36000000000001,OK,619_AL_SÃO-MIGUEL-DOS-CAMPOS_2024_T1.pdf
São Miguel Dos Milagres,JADSON LESSA DOS SANTOS,JARIO ANTONIO DOS SANTOS,MDB,15,4014,58.36,RUBENS FELISBERTO DE ATAIDE JUNIOR,PSB,2864.0,41.64,1150.0,16.72,OK,619_AL_SÃO-MIGUEL-DOS-MILAGRES_2024_T1.pdf
São Sebastião,CHARLES NUNES REGUEIRA,ANA PATRICIA ALVES DOS SANTOS,PP,11,11980,56.14,MARCOS ANDRE DE JESUS PEREIRA,MDB,8803.0,41.26,3177.0,14.880000000000003,OK,619_AL_SÃO-SEBASTIÃO_2024_T1.pdf
Tanque D'Arca,JUVENIL LOPES DE OLIVEIRA,JEAN CEGALAN SANTOS DE LIMA,MDB,15,2326,50.71,ADRIANA WANDERLEY DOS SANTOS,REPUBLICANOS,2261.0,49.29,65.0,1.4200000000000017,OK,619_AL_TANQUE-D'ARCA_2024_T1.pdf
Taquarana,GERALDO CICERO DA SILVA,JOSE GILBERTO DA SILVA,MDB,15,6517,53.46,SEBASTIÃO ANTONIO DA SILVA,PP,5673.0,46.54,844.0,6.920000000000002,OK,619_AL_TAQUARANA_2024_T1.pdf
Teotônio Vilela,PEDRO HENRIQUE DE JESUS PEREIRA,ANDRE BORGES PEREIRA DA SILVA,PP,11,17729,77.19,VALDIR JOAQUIM DA SILVA NETO,MDB,5238.0,22.81,12491.0,54.379999999999995,OK,619_AL_TEOTÔNIO-VILELA_2024_T1.pdf
Traipu,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,WAGNER DOS SANTOS CANUTO,MDB,15,12379,88.76,THIAGO JOSE SILVA CAVALCANTE,REPUBLICANOS,1568.0,11.24,10811.0,77.52000000000001,OK,619_AL_TRAIPU_2024_T1.pdf
União Dos Palmares,JOSÉ IRAN MENEZES DA SILVA JUNIOR,SAMIRES CANDIDO ULISSES,MDB,15,23163,63.83,BRUNNO LEONARDO VEIGA LOPES,PL,13127.0,36.17,10036.0,27.659999999999997,OK,619_AL_UNIÃO-DOS-PALMARES_2024_T1.pdf
Viçosa,JOÃO VICTOR CALHEIROS AMORIM SANTOS,AFRANIO TENORIO CAVALCANTE NETO,MDB,15,9301,57.45,FLAUBERT TORRES FILHO,PODE,6737.0,41.61,2564.0,15.840000000000003,OK,619_AL_VIÇOSA_2024_T1.pdf
Água Branca,NAYARA EMMANUELA BATISTA FEITOSA,JOSÉ HORLANDO DA SILVA SANTOS,PP,11,9227,78.03,RICARDO DE LIMA,PDT,2598.0,21.97,6629.0,56.06,OK,619_AL_ÁGUA-BRANCA_2024_T1.pdf
