rank,municipio,populacao_estimada_2024,eleitorado_2024,participacao_eleitorado_pct,indice_estrategico_pct,prioridade_politica,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,visitado_pre_campanha,quantidade_visitas,ultima_visita,status_visitacao,capital_politico_prefeito,grupo_politico,relacao_davi,municipio_normalizado,grupo_politico_classificacao,relacao_davi_classificacao,peso_politico,status_articulacao,observacoes,score_articulacao,prioridade_final,recomendacao_estrategica
1,Maceió,994464.0,632812,25.90419396011452,27.397829079873947,Prioridade Máxima,JOAO HENRIQUE HOLANDA CALDAS,RODRIGO SANTOS CUNHA,PL,22,379544,83.25,RAFAEL DE GÓES BRITO,MDB,58084.0,12.74,321460.0,70.51,True,4,2026-06-09,Visitado,10398681.640291678,não_classificado,não_classificado,MACEIO,Independente,adversario_potencial,muito_alto,mapear,Capital do estado,82.4,Alta Prioridade,Manter acompanhamento da articulação em Maceió com JOAO HENRIQUE HOLANDA CALDAS (PL).
2,Arapiraca,243661.0,155982,6.3851317331001605,6.73965243482755,Prioridade Máxima,JOSE LUCIANO BARBOSA DA SILVA,RUTINEIDE PEREIRA MELO DE LIRA,MDB,15,100890,85.04,FABIANA CAVALCANTE PESSOA,PL,16635.0,14.02,84255.0,71.02000000000001,False,0,,Prioritário não visitado,679963.5341497515,não_classificado,não_classificado,ARAPIRACA,Calheiros,aliado_forte,muito_alto,prioritario,Segundo maior colégio eleitoral,81.74,Alta Prioridade,Priorizar agenda em Arapiraca com JOSE LUCIANO BARBOSA DA SILVA (MDB). Relação política indicada: não_classificado.
3,Rio Largo,97435.0,67172,2.74968950760859,2.83253283979211,Prioridade Máxima,PEDRO CARLOS DA SILVA NETO,PETERSON HENRIQUE DA SILVA SANTOS,PP,11,32496,62.99,ANNY IZABELLE TORRES MELO LINS DE SOUZA,PDT,10848.0,21.03,21648.0,41.96,False,0,,Prioritário não visitado,92045.9871618844,não_classificado,não_classificado,RIO LARGO,Calheiros,aliado,alto,prioritario,Região Metropolitana,72.83,Alta Prioridade,Priorizar agenda em Rio Largo com PEDRO CARLOS DA SILVA NETO (PP). Relação política indicada: não_classificado.
6,Marechal Deodoro,62341.0,46217,1.89189543222096,1.90512481404747,Prioridade Máxima,ANDRÉ LUIZ BARROS DA SILVA,NEILSON COSTA DA SILVA,MDB,15,21621,58.47,JOSÉ GILVAN RIBEIRO DE ALMEIDA FILHO,REPUBLICANOS,15360.0,41.53,6261.0,16.939999999999998,False,0,,Prioritário não visitado,41190.70360452035,não_classificado,não_classificado,MARECHAL DEODORO,Calheiros,aliado,alto,prioritario,Região Metropolitana,71.91,Alta Prioridade,Priorizar agenda em Marechal Deodoro com ANDRÉ LUIZ BARROS DA SILVA (MDB). Relação política indicada: não_classificado.
7,Penedo,60189.0,44517,1.82230583889436,1.83636305682454,Prioridade Máxima,RONALDO PEREIRA LOPES,JOSÉ EVALDO DOS SANTOS MONTEIRO,MDB,15,24059,71.33,MARCIUS BELTRÃO SIQUEIRA,PDT,9672.0,28.67,14387.0,42.66,False,0,,Prioritário não visitado,44181.058784141605,não_classificado,não_classificado,PENEDO,Calheiros,aliado,alto,prioritario,Baixo São Francisco,71.84,Alta Prioridade,Priorizar agenda em Penedo com RONALDO PEREIRA LOPES (MDB). Relação política indicada: não_classificado.
8,São Miguel dos Campos,53391.0,43990,1.80073306496311,1.7579287568954198,Prioridade Máxima,GEORGE CLEMENTE VIEIRA,BENILDO CHAGAS DE OMENA,MDB,15,25796,79.18,PEDRO RICARDO ALVES JATOBÁ,PRD,6782.0,20.82,19014.0,58.36000000000001,False,0,,Prioritário não visitado,45347.53021287425,não_classificado,não_classificado,SAO MIGUEL DOS CAMPOS,Calheiros,aliado_forte,alto,prioritario,Influência regional,71.76,Alta Prioridade,Priorizar agenda em São Miguel dos Campos com GEORGE CLEMENTE VIEIRA (MDB). Relação política indicada: não_classificado.
9,Coruripe,51788.0,42038,1.72082783780221,1.68706079762416,Prioridade Máxima,MARCELO BELTRÃO SIQUEIRA,JOSÉ ENEAS DA COSTA GAMA,PP,11,27647,90.22,MARCOS ANTONIO LINS DOS SANTOS,23,2303.0,7.52,25344.0,82.7,False,0,,Prioritário não visitado,46642.16987191515,não_classificado,não_classificado,CORURIPE,Independente,potencial_aliado,alto,aproximacao,Liderança regional forte,71.69,Alta Prioridade,Priorizar agenda em Coruripe com MARCELO BELTRÃO SIQUEIRA (PP). Relação política indicada: não_classificado.
10,Delmiro Gouveia,52809.0,41113,1.68296291202156,1.67006746471436,Prioridade Máxima,ELIZIANE FERREIRA COSTA LIMA,ERIVALDO BEZERRA SANDES,MDB,15,24620,83.31,CRISTOVÃO LOPES DIAS,PT,4932.0,16.69,19688.0,66.62,False,0,,Prioritário não visitado,41117.06098126755,não_classificado,não_classificado,DELMIRO GOUVEIA,Calheiros,aliado,alto,prioritario,Principal cidade do Alto Sertão,71.67,Alta Prioridade,Priorizar agenda em Delmiro Gouveia com ELIZIANE FERREIRA COSTA LIMA (MDB). Relação política indicada: não_classificado.
14,Pilar,36499.0,29137,1.19272469456308,1.17494909850829,Alta Prioridade,MARIA DE FATIMA RESENDE ROCHA OITICICA,TAYRONNE HENRIQUE DOS SANTOS,MDB,15,13008,56.14,ROBERTO DOUGLAS DA SILVA BARROS,PV,5171.0,22.32,7837.0,33.82,False,0,,Prioritário não visitado,15283.737873395836,não_classificado,não_classificado,PILAR,Calheiros,aliado_forte,alto,prioritario,Polo industrial,61.17,Média Prioridade,Monitorar oportunidade de aproximação em Pilar.
11,Santana do Ipanema,47397.0,33506,1.37156994941245,1.40167165913523,Alta Prioridade,JOAO EDUARDO BULHOES PORTELA DE MELO,MÁRIO SIQUEIRA SILVA,MDB,15,16302,64.77,JOSE EDSON MAGALHÃES FELIX,PP,8268.0,32.85,8034.0,31.919999999999995,False,0,,Prioritário não visitado,22850.05138722252,não_classificado,não_classificado,SANTANA DO IPANEMA,Calheiros,aliado,medio,prioritario,Bacia leiteira,56.4,Média Prioridade,Monitorar oportunidade de aproximação em Santana do Ipanema.
12,Atalaia,38530.0,32883,1.346067410211,1.30121074857304,Alta Prioridade,CECILIA LIMA HERRMANN,NICOLLAS VON MEYNARD THEOTONIO COSTA,MDB,15,19600,79.95,MAURICIO TENÓRIO DA SILVA,PDT,2423.0,9.88,17177.0,70.07000000000001,False,0,,Prioritário não visitado,25503.730672031583,não_classificado,não_classificado,ATALAIA,Calheiros,aliado,medio,prioritario,Zona da Mata,56.3,Média Prioridade,Monitorar oportunidade de aproximação em Atalaia.
13,Teotônio Vilela,39161.0,31976,1.30893931541851,1.28109977433508,Alta Prioridade,PEDRO HENRIQUE DE JESUS PEREIRA,ANDRE BORGES PEREIRA DA SILVA,PP,11,17729,77.19,VALDIR JOAQUIM DA SILVA NETO,MDB,5238.0,22.81,12491.0,54.38,False,0,,Prioritário não visitado,22712.617899186636,não_classificado,não_classificado,TEOTONIO VILELA,Independente,potencial_aliado,medio,aproximacao,Corredor Sul,56.28,Média Prioridade,Monitorar oportunidade de aproximação em Teotônio Vilela.
15,Girau do Ponciano,37335.0,28487,1.16611690887938,1.16411221684923,Alta Prioridade,GILBERTO BEZERRA BARROS,OSVALDO ALEXANDRE SANTOS JUNIOR,PP,11,15885,71.42,LIDIA SAMYRA DO NASCIMENTO BARROS SILVA,PDT,6358.0,28.58,9527.0,42.84,False,0,,Prioritário não visitado,18491.922564650016,não_classificado,não_classificado,GIRAU DO PONCIANO,Independente,potencial_aliado,medio,aproximacao,Agreste,56.16,Média Prioridade,Monitorar oportunidade de aproximação em Girau do Ponciano.
16,São Sebastião,32701.0,27531,1.12698299639689,1.09354595945992,Alta Prioridade,CHARLES NUNES REGUEIRA,ANA PATRICIA ALVES DOS SANTOS,PP,11,11980,56.14,MARCOS ANDRE DE JESUS PEREIRA,MDB,8803.0,41.26,3177.0,14.880000000000004,False,0,,Prioritário não visitado,13100.68059432984,não_classificado,não_classificado,SAO SEBASTIAO,Calheiros,aliado,medio,prioritario,Agreste,56.09,Média Prioridade,Monitorar oportunidade de aproximação em São Sebastião.
17,Campo Alegre,32714.0,27202,1.11351536333545,1.08423973041757,Alta Prioridade,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,LEONARDO DE PAULA MONTEIRO,PP,11,12217,59.17,HENRIQUE ANTONIO DE GOES TENORIO,MDB,8429.0,40.83,3788.0,18.340000000000003,False,0,,Prioritário não visitado,13246.156786511452,não_classificado,não_classificado,CAMPO ALEGRE,Independente,potencial_aliado,medio,aproximacao,Sul do estado,56.08,Média Prioridade,Monitorar oportunidade de aproximação em Campo Alegre.
18,Maragogi,33232.0,25140,1.02910728013577,1.02998000326574,Alta Prioridade,DANIEL MENDES DE VASCONCELOS FERREIRA,JOAO ENIO VASCONCELOS CAVALCANTE,PP,11,9877,49.04,MARCOS JOSÉ DIAS VIANA,MDB,9003.0,44.7,874.0,4.339999999999996,False,0,,Prioritário não visitado,10173.112492255714,não_classificado,não_classificado,MARAGOGI,Independente,potencial_aliado,medio,aproximacao,Litoral Norte,56.03,Média Prioridade,Monitorar oportunidade de aproximação em Maragogi.
19,São Luís do Quitunde,31792.0,24159,0.98894999128083,0.98845418530158,Alta Prioridade,MARCIA RAFAELA BARROS DE VASCONCELOS,CRISTOPHANES JACQUES UCHOA DE LIMA,MDB,15,10379,55.79,VIVIANE DOS SANTOS SILVA,PP,8225.0,44.21,2154.0,11.579999999999998,False,0,,Prioritário não visitado,10259.1659892451,não_classificado,não_classificado,SAO LUIS DO QUITUNDE,Calheiros,aliado,medio,prioritario,Litoral Norte,55.99,Média Prioridade,Monitorar oportunidade de aproximação em São Luís do Quitunde.
4,Palmeira dos Índios,73596.0,54858,2.2456152415946,2.25758554237497,Prioridade Máxima,LUISA JULIA DUARTE,SHEILA MARIA DUARTE,MDB,15,23994,57.43,MOSABELLE RODRIGUES BRASILEIRO MONTEIRO,REPUBLICANOS,13192.0,31.57,10802.0,25.86,True,1,2026-05-30,Visitado,54168.50750374503,não_classificado,não_classificado,PALMEIRA DOS INDIOS,Calheiros,aliado,alto,prioritario,Agreste estratégico,52.26,Média Prioridade,Manter acompanhamento da articulação em Palmeira dos Índios com LUISA JULIA DUARTE (MDB).
5,União dos Palmares,60874.0,48920,2.00254288561026,1.96891077098367,Prioridade Máxima,JOSÉ IRAN MENEZES DA SILVA JUNIOR,SAMIRES CANDIDO ULISSES,MDB,15,23163,63.83,BRUNNO LEONARDO VEIGA LOPES,PL,13127.0,36.17,10036.0,27.66,True,1,2026-05-24,Visitado,45605.880188294745,não_classificado,não_classificado,UNIAO DOS PALMARES,Calheiros,aliado,alto,prioritario,Zona da Mata,51.97,Média Prioridade,Manter acompanhamento da articulação em União dos Palmares com JOSÉ IRAN MENEZES DA SILVA JUNIOR (MDB).
20,São José da Tapera,31557.0,23599,0.96602636053795,0.97021827350035,Alta Prioridade,JARBAS PEREIRA RICARDO,JARIA PEREIRA RICARDO,MDB,15,11679,68.49,JOSE ROMARIO RODRIGUES PEREIRA,PDT,5248.0,30.78,6431.0,37.71,True,1,2026-05-14,Visitado,11331.179216210588,não_classificado,não_classificado,SAO JOSE DA TAPERA,Calheiros,aliado,medio,prioritario,Sertão,35.97,Monitoramento,Manter acompanhamento da articulação em São José da Tapera com JARBAS PEREIRA RICARDO (MDB).
21,Craíbas,26115.0,22009,0.90093962325012,0.87395733156766,Média Prioridade,TEÓFILO JOSÉ BARROSO PEREIRA,SEBASTIÃO BARBOSA DA SILVA,PP,11,11286,61.4,EDIEL BARBOSA LIMA,MDB,7095.0,38.6,4191.0,22.8,False,0,,Médio potencial não visitado,9863.48244407261,não_classificado,não_classificado,CRAIBAS,,,não_classificado,não_classificado,não_classificado,35.87,Monitoramento,Monitorar oportunidade de aproximação em Craíbas.
22,Porto Calvo,24520.0,22018,0.90130803874421,0.85935545390915,Média Prioridade,ERONITA SPOSITO LEAO E LIMA,VÍNICIUS LEAO E LIMA CARVALHO,MDB,15,12829,74.18,KLEVISSON KENNEDY DA SILVA SIQUEIRA,PP,3352.0,19.38,9477.0,54.80000000000001,False,0,,Médio potencial não visitado,11024.671118200486,não_classificado,não_classificado,PORTO CALVO,,,não_classificado,não_classificado,não_classificado,35.86,Monitoramento,Monitorar oportunidade de aproximação em Porto Calvo.
23,Murici,25933.0,20853,0.8536186997880301,0.83913708773492,Média Prioridade,REMI VASCONCELOS CALHEIROS FILHO,DAYVIDSON TENÓRIO VASCONCELOS,MDB,15,10363,66.01,EDUARDO CESAR DE OLIVEIRA,PP,4338.0,27.63,6025.0,38.38000000000001,False,0,,Médio potencial não visitado,8695.977640196976,não_classificado,não_classificado,MURICI,,,não_classificado,não_classificado,não_classificado,35.84,Monitoramento,Monitorar oportunidade de aproximação em Murici.
24,Viçosa,24423.0,21118,0.864466489336,0.83266267180308,Média Prioridade,JOÃO VICTOR CALHEIROS AMORIM SANTOS,AFRANIO TENORIO CAVALCANTE NETO,MDB,15,9301,57.45,FLAUBERT TORRES FILHO,PODE,6737.0,41.61,2564.0,15.840000000000003,False,0,,Médio potencial não visitado,7744.595510440447,não_classificado,não_classificado,VICOSA,,,não_classificado,não_classificado,não_classificado,35.83,Monitoramento,Monitorar oportunidade de aproximação em Viçosa.
25,Igaci,24452.0,21092,0.8634021779086599,0.8321878314131,Média Prioridade,JOSE PETRUCIO OLIVEIRA BARBOSA,JOSENILDO GOMES DE FRANÇA,MDB,15,10377,68.81,ALBERES CANDIDO DA SILVA,UNIÃO,4704.0,31.19,5673.0,37.620000000000005,False,0,,Médio potencial não visitado,8635.613126573739,não_classificado,não_classificado,IGACI,,,não_classificado,não_classificado,não_classificado,35.83,Monitoramento,Monitorar oportunidade de aproximação em Igaci.
26,Limoeiro de Anadia,25197.0,20574,0.8421978194714901,0.82428555012198,Média Prioridade,JAMES MARLAN FERREIRA BARBOSA,FELIPE SOARES DE OLIVEIRA,PP,11,11438,69.54,SIDNEY VIEIRA DE SOUZA,REPUBLICANOS,3156.0,19.19,8282.0,50.35000000000001,False,0,,Médio potencial não visitado,9428.178122295209,não_classificado,não_classificado,LIMOEIRO DE ANADIA,,,não_classificado,não_classificado,não_classificado,35.82,Monitoramento,Monitorar oportunidade de aproximação em Limoeiro de Anadia.
27,Junqueiro,24381.0,20569,0.8419931441970001,0.8165400384959399,Média Prioridade,CICERO LEANDRO PEREIRA DA SILVA,JADER TIAGO DA SILVA,MDB,15,8805,54.46,JOÃO JOSÉ PEREIRA FILHO,PP,7337.0,45.38,1468.0,9.079999999999998,False,0,,Médio potencial não visitado,7189.635038956751,não_classificado,não_classificado,JUNQUEIRO,,,não_classificado,não_classificado,não_classificado,35.82,Monitoramento,Monitorar oportunidade de aproximação em Junqueiro.
28,Piranhas,23053.0,20339,0.8325780815704601,0.79757722345121,Média Prioridade,TIAGO TORRES FREITAS,JOSE VICENTE RODRIGUES,MDB,15,11565,76.07,MARISTELA SENA DIAS,PP,3638.0,23.93,7927.0,52.13999999999999,False,0,,Médio potencial não visitado,9223.980589213244,não_classificado,não_classificado,PIRANHAS,,,não_classificado,não_classificado,não_classificado,35.8,Monitoramento,Monitorar oportunidade de aproximação em Piranhas.
29,Traipu,24124.0,19430,0.79536811666818,0.78150818662036,Média Prioridade,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,WAGNER DOS SANTOS CANUTO,MDB,15,12379,88.76,THIAGO JOSE SILVA CAVALCANTE,REPUBLICANOS,1568.0,11.24,10811.0,77.52000000000001,False,0,,Médio potencial não visitado,9674.289842173435,não_classificado,não_classificado,TRAIPU,,,não_classificado,não_classificado,não_classificado,35.78,Monitoramento,Monitorar oportunidade de aproximação em Traipu.
30,Pão de Açúcar,24291.0,19298,0.78996468942164,0.77928163791783,Média Prioridade,JORGE SILVA DANTAS,ERALDO JOÃO CRUZ ALMEIDA,MDB,15,10379,74.83,ALDO ALVES ROSA,PL,3035.0,21.88,7344.0,52.95,False,0,,Médio potencial não visitado,8088.164119949158,não_classificado,não_classificado,PAO DE ACUCAR,,,não_classificado,não_classificado,não_classificado,35.78,Monitoramento,Monitorar oportunidade de aproximação em Pão de Açúcar.
31,Matriz de Camaragibe,24330.0,19218,0.7866898850298,0.77735261714553,Média Prioridade,FERNANDO HENRIQUE LIMA CAVALCANTE,CLAUDIO RAMON SILVA DANTAS,MDB,15,10842,75.52,MARCOS PAULO DO NASCIMENTO,PP,3208.0,22.34,7634.0,53.17999999999999,False,0,,Médio potencial não visitado,8428.057075091836,não_classificado,não_classificado,MATRIZ DE CAMARAGIBE,,,não_classificado,não_classificado,não_classificado,35.78,Monitoramento,Monitorar oportunidade de aproximação em Matriz de Camaragibe.
33,Feira Grande,23191.0,19433,0.7954909218328701,0.77290188439578,Média Prioridade,DÁRIO ROBERTO SILVA LIRA,ROMARIO DA SILVA SANTOS,MDB,15,10095,63.58,CRISTHIAN MESSIAS DE OLIVEIRA LIRA,PP,5782.0,36.42,4313.0,27.16,False,0,,Médio potencial não visitado,7802.444522975399,não_classificado,não_classificado,FEIRA GRANDE,,,não_classificado,não_classificado,não_classificado,35.77,Monitoramento,Monitorar oportunidade de aproximação em Feira Grande.
34,Mata Grande,22147.0,19084,0.78120458767347,0.7531750565540699,Média Prioridade,MARIA FABIANA FARIAS DE ALENCAR,VINICIUS CAMPOS BRANDÃO CARVALHO,MDB,15,7728,53.97,WALLYSSON FIRMO DE HOLANDA SOARES,PSB,6591.0,46.03,1137.0,7.939999999999998,False,0,,Médio potencial não visitado,5820.536837049853,não_classificado,não_classificado,MATA GRANDE,,,não_classificado,não_classificado,não_classificado,35.75,Monitoramento,Monitorar oportunidade de aproximação em Mata Grande.
35,Igreja Nova,22125.0,18088,0.74043327299506,0.72443017395498,Média Prioridade,TIAGO GOMES DOS SANTOS,EDVALDO CAVALCANTE,MDB,15,7230,51.17,GERALDO NUNES CADETE NETO,UNIÃO,6703.0,47.44,527.0,3.730000000000004,False,0,,Médio potencial não visitado,5237.630157694505,não_classificado,não_classificado,IGREJA NOVA,,,não_classificado,não_classificado,não_classificado,35.72,Monitoramento,Monitorar oportunidade de aproximação em Igreja Nova.
36,São José da Laje,21193.0,17911,0.73318776827811,0.71067537128254,Média Prioridade,ANGELA VANESSA ROCHA PEREIRA BEZERRA,RAVENA GRAZYELLE VALENÇA CALDEIRA DE ARAÚJO,MDB,15,8144,61.03,FABRÍCIA REGINA PEDROSA VÉRAS,PL,5200.0,38.97,2944.0,22.06,False,0,,Médio potencial não visitado,5787.740223725005,não_classificado,não_classificado,SAO JOSE DA LAJE,,,não_classificado,não_classificado,não_classificado,35.71,Monitoramento,Monitorar oportunidade de aproximação em São José da Laje.
37,Porto Real do Colégio,20262.0,18066,0.7395327017873,0.70644319183767,Média Prioridade,HIGOR JOSÉ SANTOS FREITAS,JOSE DE OLIVEIRA,PP,11,9439,66.34,JOSÉ TIAGO DE LIRA,PSB,4790.0,33.66,4649.0,32.68000000000001,False,0,,Médio potencial não visitado,6668.117287755767,não_classificado,não_classificado,PORTO REAL DO COLEGIO,,,não_classificado,não_classificado,não_classificado,35.71,Monitoramento,Monitorar oportunidade de aproximação em Porto Real do Colégio.
38,Lagoa da Canoa,18831.0,17464,0.7148897987387,0.6758612921614899,Média Prioridade,EDILZA ALVES DE SOUZA,JADIELSON TAVARES RODRIGUES,PP,11,7948,94.68,JARBAS GOMES DE BARROS PEREIRA LOPES,PSD,447.0,5.32,7501.0,89.36000000000001,False,0,,Médio potencial não visitado,5371.745550099522,não_classificado,não_classificado,LAGOA DA CANOA,,,não_classificado,não_classificado,não_classificado,35.68,Monitoramento,Monitorar oportunidade de aproximação em Lagoa da Canoa.
39,Satuba,25000.0,15277,0.62536483367677,0.6706671156171801,Média Prioridade,DIOGENES JOSÉ NETO DE AMORIM,LUIS CARLOS ALVES DE LIRA,PP,11,12047,100.0,,,,,,,False,0,,Médio potencial não visitado,8079.526741840168,não_classificado,não_classificado,SATUBA,,,não_classificado,não_classificado,não_classificado,35.67,Monitoramento,Monitorar oportunidade de aproximação em Satuba.
40,Olho d'Água das Flores,21132.0,16469,0.67415941911519,0.66878722224231,Média Prioridade,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,CLEMENS SANTANA MACHADO,MDB,15,8611,70.26,ALYSON FELIX DUARTE DANTAS,PL,3400.0,27.74,5211.0,42.52000000000001,False,0,,Médio potencial não visitado,5758.926770728532,não_classificado,não_classificado,OLHO D'AGUA DAS FLORES,,,não_classificado,não_classificado,não_classificado,35.67,Monitoramento,Monitorar oportunidade de aproximação em Olho d'Água das Flores.
41,Água Branca,19550.0,16682,0.68287858580847,0.66015198452389,Baixa Prioridade,NAYARA EMMANUELA BATISTA FEITOSA,JOSÉ HORLANDO DA SILVA SANTOS,PP,11,9227,78.03,RICARDO DE LIMA,PDT,2598.0,21.97,6629.0,56.06,False,0,,Não visitado,6091.222361201933,não_classificado,não_classificado,AGUA BRANCA,,,não_classificado,não_classificado,não_classificado,25.66,Monitoramento,Monitorar oportunidade de aproximação em Água Branca.
42,Taquarana,19422.0,15757,0.64501366002781,0.63245402840937,Baixa Prioridade,GERALDO CICERO DA SILVA,JOSE GILBERTO DA SILVA,MDB,15,6517,53.46,SEBASTIÃO ANTONIO DA SILVA,PP,5673.0,46.54,844.0,6.920000000000002,False,0,,Não visitado,4121.702903143864,não_classificado,não_classificado,TAQUARANA,,,não_classificado,não_classificado,não_classificado,25.63,Monitoramento,Monitorar oportunidade de aproximação em Taquarana.
43,Major Isidoro,17834.0,15802,0.64685573749822,0.61894892941926,Baixa Prioridade,THEOBALDO CAVALCANTI LINS NETTO,ITALO TAVARES SURUAGY DO AMARAL,MDB,15,7400,60.96,ERALDO DOS SANTOS LIMA,PP,4739.0,39.04,2661.0,21.92,False,0,,Não visitado,4580.222077702524,não_classificado,não_classificado,MAJOR ISIDORO,,,não_classificado,não_classificado,não_classificado,25.62,Monitoramento,Monitorar oportunidade de aproximação em Major Isidoro.
44,Colônia Leopoldina,15949.0,15772,0.64562768585128,0.60052774867033,Baixa Prioridade,ALEXANDRE GILBERTO SOBREIRA,LUCIANA MEDEIROS DE LUNA FREITAS,MDB,15,5995,51.67,DAVID MARIO FEITOSA JARDIM,PL,4269.0,36.8,1726.0,14.870000000000005,False,0,,Não visitado,3600.1638532786283,não_classificado,não_classificado,COLONIA LEOPOLDINA,,,não_classificado,não_classificado,não_classificado,25.6,Monitoramento,Monitorar oportunidade de aproximação em Colônia Leopoldina.
45,Joaquim Gomes,17386.0,15290,0.62589698939045,0.6001040275056,Baixa Prioridade,ELIAS JOSE DA SILVA,JOSE MARCELINO DA SILVA,PSB,40,5172,44.33,,,,,,,False,0,,Não visitado,3103.738030258963,não_classificado,não_classificado,JOAQUIM GOMES,,,não_classificado,não_classificado,não_classificado,25.6,Monitoramento,Monitorar oportunidade de aproximação em Joaquim Gomes.
46,Barra de Santo Antônio,16735.0,15387,0.62986768971555,0.59681849623076,Baixa Prioridade,LIVIA CARLA DA SILVA ALVES,LUCAS MARTINS ALVES,REPUBLICANOS,10,7647,60.88,EMANUELLA CORADO ACIOLI DE MOURA,MDB,4843.0,38.56,2804.0,22.32,False,0,,Não visitado,4563.871040676621,não_classificado,não_classificado,BARRA DE SANTO ANTONIO,,,não_classificado,não_classificado,não_classificado,25.6,Monitoramento,Monitorar oportunidade de aproximação em Barra de Santo Antônio.
47,Cajueiro,16605.0,15200,0.62221283444963,0.59024895653799,Baixa Prioridade,LUCILA RÉGIA ALBUQUERQUE TOLEDO,ANTONIO JORGE DE MELO JUNIOR,MDB,15,5969,53.82,WELINGTON NEMESIO DE LIMA,PP,4610.0,41.57,1359.0,12.25,False,0,,Não visitado,3523.1960215752624,não_classificado,não_classificado,CAJUEIRO,,,não_classificado,não_classificado,não_classificado,25.59,Monitoramento,Monitorar oportunidade de aproximação em Cajueiro.
48,Canapi,15743.0,15330,0.62753439158637,0.58594325001285,Baixa Prioridade,JOSÉLIA MELO DE LIMA,HERMESON MELO DE LIMA,PP,11,7399,61.55,LARA JAYNE SIQUEIRA BARBOSA MALTA BRANDÃO,PT,4384.0,36.47,3015.0,25.08,False,0,,Não visitado,4335.394106845077,não_classificado,não_classificado,CANAPI,,,não_classificado,não_classificado,não_classificado,25.59,Monitoramento,Monitorar oportunidade de aproximação em Canapi.
49,Piaçabuçu,16201.0,14386,0.58889169976265,0.56316030866728,Baixa Prioridade,RYMES MARINHO LESSA,CARLOS RONALSA BELTRAO COELHO DA PAZ,MDB,15,5010,42.53,KAYRO CRISTÓVÃO CASTRO DOS SANTOS,PP,3627.0,30.79,1383.0,11.740000000000002,False,0,,Não visitado,2821.4331464230727,não_classificado,não_classificado,PIACABUCU,,,não_classificado,não_classificado,não_classificado,25.56,Monitoramento,Monitorar oportunidade de aproximação em Piaçabuçu.
