rank,municipio,populacao_estimada_2024,eleitorado_2024,participacao_eleitorado_pct,indice_estrategico_pct,prioridade_politica,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,visitado_pre_campanha,quantidade_visitas,ultima_visita,status_visitacao,capital_politico_prefeito,grupo_politico,relacao_davi,municipio_normalizado,grupo_politico_classificacao,relacao_davi_classificacao,peso_politico,status_articulacao,observacoes,score_articulacao,prioridade_final,recomendacao_estrategica
50,Inhapi,15417.0,14546,0.59544130854633,0.56044092289898,Baixa Prioridade,LUIZ CELSO MALTA BRANDÃO FILHO,GILSON TENÓRIO CAVALCANTE,PP,11,9646,89.91,WELLINGTON PETRONIO MENEZES FREIRE,PDT,917.0,8.55,8729.0,81.36,False,0,,Não visitado,5406.01314228356,não_classificado,não_classificado,INHAPI,,,não_classificado,não_classificado,não_classificado,25.56,Monitoramento,Monitorar oportunidade de aproximação em Inhapi.
51,Messias,15707.0,14439,0.5910612576722499,0.56007666337882,Baixa Prioridade,MARCOS JOSÉ HERCULANO DA SILVA,MARCOS VALÉRIO DOS SANTOS,REPUBLICANOS,10,7223,62.13,JARBAS MAYA DE OMENA FILHO,PP,3407.0,29.31,3816.0,32.82000000000001,False,0,,Não visitado,4045.4337395852167,não_classificado,não_classificado,MESSIAS,,,não_classificado,não_classificado,não_classificado,25.56,Monitoramento,Monitorar oportunidade de aproximação em Messias.
52,Batalha,17103.0,13756,0.56310261517691,0.55351140474939,Baixa Prioridade,WAGNEY DANTAS CORREIA CAJE,IZAIAS GOMES BEZERRA,MDB,15,6951,64.39,ALEX SANDRO ROCHA PINTO,PP,2791.0,25.85,4160.0,38.54,False,0,,Não visitado,3847.4577744130097,não_classificado,não_classificado,BATALHA,,,não_classificado,não_classificado,não_classificado,25.55,Monitoramento,Monitorar oportunidade de aproximação em Batalha.
53,Capela,15068.0,13391,0.54816132013914,0.52409348323462,Baixa Prioridade,THIAGO DE MEDEIROS MOURA,ANIBAL SORIANO MOREIRA,MDB,15,6085,58.07,FERNANDO ANTONIO LUCENA MALTA,PL,4394.0,41.93,1691.0,16.14,False,0,,Não visitado,3189.1088454826627,não_classificado,não_classificado,CAPELA,,,não_classificado,não_classificado,não_classificado,25.52,Monitoramento,Monitorar oportunidade de aproximação em Capela.
54,Estrela de Alagoas,15701.0,13068,0.53493929740709,0.52073539237752,Baixa Prioridade,ROBERTO FERREIRA WANDERLEY,CICERO PINHEIRO DA SILVA,MDB,15,5538,57.72,ARLINDO GARROTE DA SILVA NETO,PP,4057.0,42.28,1481.0,15.439999999999998,False,0,,Não visitado,2883.8326029867058,não_classificado,não_classificado,ESTRELA DE ALAGOAS,,,não_classificado,não_classificado,não_classificado,25.52,Monitoramento,Monitorar oportunidade de aproximação em Estrela de Alagoas.
55,Anadia,14193.0,13178,0.53944215344587,0.50983815592781,Baixa Prioridade,PAULO VICTOR PEREIRA ROCHA,EDIRAJAR FALCÃO PEDROSA JÚNIOR,PP,11,5446,54.0,AMÓS DE ALMEIDA ROCHA,PSB,4639.0,46.0,807.0,8.0,False,0,,Não visitado,2776.578597182853,não_classificado,não_classificado,ANADIA,,,não_classificado,não_classificado,não_classificado,25.51,Monitoramento,Monitorar oportunidade de aproximação em Anadia.
56,Paripueira,14176.0,12809,0.5243371181885,0.4991062512698599,Baixa Prioridade,CARLOS ABRAHÃO GOMES DE MOURA,CARLOS AUGUSTO SOUSA DE CASTRO,MDB,15,7170,70.08,EDVANIO DE LIMA SANTOS,REPUBLICANOS,3061.0,29.92,4109.0,40.16,False,0,,Não visitado,3578.591821604896,não_classificado,não_classificado,PARIPUEIRA,,,não_classificado,não_classificado,não_classificado,25.5,Monitoramento,Monitorar oportunidade de aproximação em Paripueira.
57,Passo de Camaragibe,14076.0,12595,0.5155770164403299,0.4920425331179699,Baixa Prioridade,ELLISSON SANTOS DA SILVA,ADEILDO PETRÚCIO DOS SANTOS,REPUBLICANOS,10,6934,67.44,MARIA LAVÍNIA FARIAS QUIRINO COSTA,MDB,3347.0,32.56,3587.0,34.879999999999995,False,0,,Não visitado,3411.8229246400037,não_classificado,não_classificado,PASSO DE CAMARAGIBE,,,não_classificado,não_classificado,não_classificado,25.49,Monitoramento,Monitorar oportunidade de aproximação em Passo de Camaragibe.
58,Ibateguara,13992.0,11919,0.48790491932928,0.47188948172057,Baixa Prioridade,MANOEL GERAERTES ALVES CRUZ,FRANCISCO DE ASSIS LEAL,MDB,15,6657,75.79,EDJA MARIA CAVALCANTI SANTOS DE SÁ,PL,2126.0,24.21,4531.0,51.580000000000005,False,0,,Não visitado,3141.3682798138343,não_classificado,não_classificado,IBATEGUARA,,,não_classificado,não_classificado,não_classificado,25.47,Monitoramento,Monitorar oportunidade de aproximação em Ibateguara.
60,Poço das Trincheiras,12974.0,11129,0.4555662259598599,0.43976823063316,Baixa Prioridade,JOSE VALMIRO GOMES DA COSTA,JOSE ERIVAN RAMOS DA SILVA,MDB,15,3961,44.18,CAIO CÉSAR FERREIRA RODRIGUES,PP,2552.0,28.47,1409.0,15.71,False,0,,Não visitado,1741.9219615379468,não_classificado,não_classificado,POCO DAS TRINCHEIRAS,,,não_classificado,não_classificado,não_classificado,25.44,Monitoramento,Monitorar oportunidade de aproximação em Poço das Trincheiras.
62,Senador Rui Palmeira,12549.0,9890,0.40484769294124,0.40030575807539,Baixa Prioridade,JOÃO CARLOS RODRIGUES,ALLYSSON FEITOSA DA SILVA,MDB,15,4778,62.64,JACKSON DA ROCHA CORDEIRO JÚNIOR,PP,2566.0,33.64,2212.0,29.0,False,0,,Não visitado,1912.6609120842131,não_classificado,não_classificado,SENADOR RUI PALMEIRA,,,não_classificado,não_classificado,não_classificado,25.4,Monitoramento,Monitorar oportunidade de aproximação em Senador Rui Palmeira.
63,Ouro Branco,11699.0,10077,0.41250254820716,0.39774515787206,Baixa Prioridade,TACIA DENYSE DE SIQUEIRA NOBRE,JOSE ROBERIO DA SILVA,PP,11,5480,67.21,ATEVALDO CABRAL SILVA,MDB,2673.0,32.79,2807.0,34.419999999999995,False,0,,Não visitado,2179.6434651388886,não_classificado,não_classificado,OURO BRANCO,,,não_classificado,não_classificado,não_classificado,25.4,Monitoramento,Monitorar oportunidade de aproximação em Ouro Branco.
64,Olivença,11048.0,10260,0.4199936632534999,0.39692391690208,Baixa Prioridade,JOSIMAR DIONISIO,MAURO FERNANDES DA SILVA,MDB,15,4857,59.37,JORGINALDO VIEIRA DE MENESES,REPUBLICANOS,3324.0,40.63,1533.0,18.739999999999995,False,0,,Não visitado,1927.8594643934025,não_classificado,não_classificado,OLIVENCA,,,não_classificado,não_classificado,não_classificado,25.4,Monitoramento,Monitorar oportunidade de aproximação em Olivença.
65,Novo Lino,10298.0,10193,0.41725101457533,0.38801671086606,Baixa Prioridade,MARCELA SILVA GOMES DE BARROS,RIVALDO DA SILVA GOMES,MDB,15,5935,75.24,JOSE EDUARDO DOS SANTOS SALES,PL,1953.0,24.76,3982.0,50.47999999999999,False,0,,Não visitado,2302.879178990066,não_classificado,não_classificado,NOVO LINO,,,não_classificado,não_classificado,não_classificado,25.39,Monitoramento,Monitorar oportunidade de aproximação em Novo Lino.
66,Santana do Mundaú,11568.0,9627,0.39408177350306,0.38363015810328,Baixa Prioridade,ANDRÉ LUIZ GOES CASTRO,TARCISIO DE MORAIS ARAUJO,MDB,15,5322,72.96,EDNO LINO DA SILVA,PL,1972.0,27.04,3350.0,45.92,False,0,,Não visitado,2041.679701425656,não_classificado,não_classificado,SANTANA DO MUNDAU,,,não_classificado,não_classificado,não_classificado,25.38,Monitoramento,Monitorar oportunidade de aproximação em Santana do Mundaú.
67,Coité do Nóia,11036.0,9675,0.39604665613817,0.3800492142899699,Baixa Prioridade,BUENO HIGINO DE SOUZA SILVA,JOSÉ TELMO BARBOSA,PP,11,5687,73.93,JOSÉ DE SENA NETTO,MDB,2005.0,26.07,3682.0,47.86000000000001,False,0,,Não visitado,2161.3398816670588,não_classificado,não_classificado,COITE DO NOIA,,,não_classificado,não_classificado,não_classificado,25.38,Monitoramento,Monitorar oportunidade de aproximação em Coité do Nóia.
68,Pariconha,10803.0,9746,0.39895304503592,0.37991294917576,Baixa Prioridade,ANTONIO TELMO NOIA,MARIA DE FATIMA FARIAS DE PAULA CARVALHO,MDB,15,4892,67.08,PEDRO PEREIRA DE SÁ JUNIOR,PT,2401.0,32.92,2491.0,34.16,False,0,,Não visitado,1858.534147367818,não_classificado,não_classificado,PARICONHA,,,não_classificado,não_classificado,não_classificado,25.38,Monitoramento,Monitorar oportunidade de aproximação em Pariconha.
69,Dois Riachos,9906.0,9898,0.40517517338042,0.37591156607118,Baixa Prioridade,ROZINEIDE BARBOSA DE ARAÚJO CAMILO,JORGE VIEIRA DE MENEZES JUNIOR,MDB,15,4470,59.05,ROSIVAN RODRIGUES DA SILVA JUNIOR,PSB,3100.0,40.95,1370.0,18.099999999999994,False,0,,Não visitado,1680.3247003381746,não_classificado,não_classificado,DOIS RIACHOS,,,não_classificado,não_classificado,não_classificado,25.38,Monitoramento,Monitorar oportunidade de aproximação em Dois Riachos.
70,Branquinha,9786.0,9547,0.39080696911122,0.36473584676894,Baixa Prioridade,RAIMUNDO JOSÉ DE FREITAS LOPES,RENATO ANTONIO LIMA DA PURIFICAÇÃO,MDB,15,6115,100.0,,,,,,,False,0,,Não visitado,2230.359702992068,não_classificado,não_classificado,BRANQUINHA,,,não_classificado,não_classificado,não_classificado,25.36,Monitoramento,Monitorar oportunidade de aproximação em Branquinha.
71,Cacimbinhas,10701.0,8896,0.36415824837262,0.35460631164471,Baixa Prioridade,WLADIMIR ARAÚJO WANDERLEY,MIRABEAU AMORIM MADEIROS,MDB,15,6336,100.0,,,,,,,False,0,,Não visitado,2246.785590580883,não_classificado,não_classificado,CACIMBINHAS,,,não_classificado,não_classificado,não_classificado,25.35,Monitoramento,Monitorar oportunidade de aproximação em Cacimbinhas.
72,Campo Grande,8293.0,9546,0.39076603405632,0.35079770359287,Baixa Prioridade,TEOGENES HIGINO MELO LESSA,JOSE ROSENDO DOS SANTOS,PSB,40,4335,57.75,EDINALDO LIMA DOS SANTOS,REPUBLICANOS,3058.0,40.74,1277.0,17.009999999999998,False,0,,Não visitado,1520.7080450750914,não_classificado,não_classificado,CAMPO GRANDE,,,não_classificado,não_classificado,não_classificado,25.35,Monitoramento,Monitorar oportunidade de aproximação em Campo Grande.
73,Japaratinga,9443.0,9070,0.37128094792487,0.34787208297486,Baixa Prioridade,JOSÉ SEVERINO DA SILVA,JAILTON DOS SANTOS,MDB,15,4957,64.14,MARIA HELENA CALAÇA CARVALHO,PSB,2771.0,35.86,2186.0,28.28,False,0,,Não visitado,1724.401915306381,não_classificado,não_classificado,JAPARATINGA,,,não_classificado,não_classificado,não_classificado,25.35,Monitoramento,Monitorar oportunidade de aproximação em Japaratinga.
74,Flexeiras,9767.0,8929,0.36550910518426,0.34685032910371,Baixa Prioridade,SILVANA MARIA CAVALCANTE DA COSTA PINTO,SHEILA CALHEIROS MAGALHAES SAMPAIO,PP,11,4867,72.59,BRUNO LOUREIRO FRAGOSO,MDB,1838.0,27.41,3029.0,45.18000000000001,False,0,,Não visitado,1688.1205517477565,não_classificado,não_classificado,FLEXEIRAS,,,não_classificado,não_classificado,não_classificado,25.35,Monitoramento,Monitorar oportunidade de aproximação em Flexeiras.
75,Maravilha,9715.0,8914,0.36489507936079,0.3459360546246299,Baixa Prioridade,ANTÔNIO JORGE RODRIGUES,CARLOS LUIZ MARTINS MARQUES,REPUBLICANOS,10,3824,54.88,JAMIS LUIT SANTANA DOS SANTOS,PP,3144.0,45.12,680.0,9.760000000000003,False,0,,Não visitado,1322.8594728845846,não_classificado,não_classificado,MARAVILHA,,,não_classificado,não_classificado,não_classificado,25.35,Monitoramento,Monitorar oportunidade de aproximação em Maravilha.
76,Jequiá da Praia,9625.0,8624,0.35302391344037,0.33678775624498,Baixa Prioridade,CARLOS FELIPE CASTRO JATOBA LINS,LIDIA VIRGÍNIA MENDONÇA CURVELLO BELTRÃO,PP,11,5250,73.54,MARIA JOSE ALVES ANANIAS,PL,983.0,13.77,4267.0,59.77000000000001,False,0,,Não visitado,1768.1357202861448,não_classificado,não_classificado,JEQUIA DA PRAIA,,,não_classificado,não_classificado,não_classificado,25.34,Monitoramento,Monitorar oportunidade de aproximação em Jequiá da Praia.
78,São Miguel dos Milagres,8687.0,8283,0.33906505972015,0.31827771045455,Baixa Prioridade,JADSON LESSA DOS SANTOS,JARIO ANTONIO DOS SANTOS,MDB,15,4014,58.36,RUBENS FELISBERTO DE ATAIDE JUNIOR,PSB,2864.0,41.64,1150.0,16.72,False,0,,Não visitado,1277.5667297645637,não_classificado,não_classificado,SAO MIGUEL DOS MILAGRES,,,não_classificado,não_classificado,não_classificado,25.32,Monitoramento,Monitorar oportunidade de aproximação em São Miguel dos Milagres.
79,Barra de São Miguel,8118.0,8167,0.33431659335198,0.30965271297553,Baixa Prioridade,BENEDITO DE LIRA,LUIZ HENRIQUE LIMA ALVES PINTO,PP,11,4563,68.12,FLORIANO DE ALBUQUERQUE MELO NETO,MDB,2135.0,31.88,2428.0,36.24000000000001,False,0,,Não visitado,1412.9453293073434,não_classificado,não_classificado,BARRA DE SAO MIGUEL,,,não_classificado,não_classificado,não_classificado,25.31,Monitoramento,Monitorar oportunidade de aproximação em Barra de São Miguel.
80,Olho d'Água do Casado,8522.0,7951,0.32547462149401,0.3072271862647699,Baixa Prioridade,CARLOS ALBERTO BEZERRA DA SILVA,JOÃO DE DEUS DIAS DOS SANTOS,PT,13,3267,53.46,MARCOS VIEIRA SOUSA,MDB,2403.0,39.32,864.0,14.14,False,0,,Não visitado,1003.7112175270032,não_classificado,não_classificado,OLHO D'AGUA DO CASADO,,,não_classificado,não_classificado,não_classificado,25.31,Monitoramento,Monitorar oportunidade de aproximação em Olho d'Água do Casado.
81,Carneiros,9200.0,7662,0.31364439062849,0.30526259083192,Baixa Prioridade,UBIRATANIA MARIA SANTANA,JANAÍNE SOARES MACHADO,MDB,15,4002,67.29,GENIVALDO NOVAIS AGRA,REPUBLICANOS,1945.0,32.71,2057.0,34.580000000000005,False,0,,Não visitado,1221.6608885093435,não_classificado,não_classificado,CARNEIROS,,,não_classificado,não_classificado,não_classificado,25.31,Monitoramento,Monitorar oportunidade de aproximação em Carneiros.
82,São Brás,6557.0,7404,0.3030831464648,0.27324629160571,Baixa Prioridade,KLINGER QUIRINO SANTOS,MARIA FABIANA DA SILVA SANDES,MDB,15,4123,67.17,JOÃO BEZERRA BORGES,PP,1917.0,31.23,2206.0,35.94,False,0,,Não visitado,1126.5944602903423,não_classificado,não_classificado,SAO BRAS,,,não_classificado,não_classificado,não_classificado,25.27,Monitoramento,Monitorar oportunidade de aproximação em São Brás.
83,Chã Preta,6010.0,7014,0.28711847505458,0.2569749129214499,Baixa Prioridade,MAURICIO DE VASCONCELOS HOLANDA,VICTOR SALVIO CANUTO TEIXEIRA,MDB,15,3892,69.38,MARYELLY CAVALCANTE DA SILVA,PSB,1718.0,30.62,2174.0,38.75999999999999,False,0,,Não visitado,1000.1463610902832,não_classificado,não_classificado,CHA PRETA,,,não_classificado,não_classificado,não_classificado,25.26,Monitoramento,Monitorar oportunidade de aproximação em Chã Preta.
84,Paulo Jacinto,6697.0,6749,0.27627068550661,0.25578187463442,Baixa Prioridade,FRANCISCO MANOEL FERREIRA FONTAN,MARIA ZILDA DE ASSUNÇÃO TENÓRIO,PP,11,3233,59.8,FABRICIO BERTO FAUSTINO,PSB,2173.0,40.2,1060.0,19.599999999999994,False,0,,Não visitado,826.9428006930798,não_classificado,não_classificado,PAULO JACINTO,,,não_classificado,não_classificado,não_classificado,25.26,Monitoramento,Monitorar oportunidade de aproximação em Paulo Jacinto.
85,Monteirópolis,7341.0,6489,0.2656275712331299,0.25433150086042,Baixa Prioridade,LEONOR MELO MONTEIRO,FABIO MARCELO MONTEIRO JÚNIOR,MDB,15,2863,57.92,LIDIA DIELLY SILVA SANTOS,PODE,2080.0,42.08,783.0,15.840000000000003,False,0,,Não visitado,728.1510869633825,não_classificado,não_classificado,MONTEIROPOLIS,,,não_classificado,não_classificado,não_classificado,25.25,Monitoramento,Monitorar oportunidade de aproximação em Monteirópolis.
86,Santa Luzia do Norte,7065.0,6506,0.2663234671664,0.25224728249195,Baixa Prioridade,FRANCIS CORREIA BARROS DE ARAÚJO,LAUDEMIR BALBINO DOS SANTOS,PP,11,3300,60.07,WERDLEY THIAGO SILVA AMARAL,MDB,2138.0,38.92,1162.0,21.15,False,0,,Não visitado,832.416032223435,não_classificado,não_classificado,SANTA LUZIA DO NORTE,,,não_classificado,não_classificado,não_classificado,25.25,Monitoramento,Monitorar oportunidade de aproximação em Santa Luzia do Norte.
87,Campestre,6807.0,6291,0.25752243036333,0.2436829076551099,Baixa Prioridade,NELSON MENDES DA SILVA NETO,JOSIAS ANTONIO DA SILVA,MDB,15,3449,68.87,DEBSON BRASILIANO DA SILVA,PP,1559.0,31.13,1890.0,37.74000000000001,False,0,,Não visitado,840.462348502474,não_classificado,não_classificado,CAMPESTRE,,,não_classificado,não_classificado,não_classificado,25.24,Monitoramento,Monitorar oportunidade de aproximação em Campestre.
88,Belo Monte,5898.0,6271,0.25670372926537,0.23464114630944,Baixa Prioridade,DALMO AUGUSTO DE ALMEIDA JÚNIOR,ANTONIO JEREMIAS FEITOSA,MDB,15,3882,79.79,MARIANA LIMA SILVA,REPUBLICANOS,983.0,20.21,2899.0,59.580000000000005,False,0,,Não visitado,910.876929973246,não_classificado,não_classificado,BELO MONTE,,,não_classificado,não_classificado,não_classificado,25.23,Monitoramento,Monitorar oportunidade de aproximação em Belo Monte.
89,Roteiro,6607.0,6014,0.24618342015658,0.23388230665404,Baixa Prioridade,PAULO JOSÉ LEITE TEIXEIRA,JOSIVALDO AUGUSTO DA SILVA,MDB,15,2537,52.41,THIAGO HENRIQUE TEIXEIRA CURSINO,PL,2238.0,46.23,299.0,6.18,False,0,,Não visitado,593.3594119812994,não_classificado,não_classificado,ROTEIRO,,,não_classificado,não_classificado,não_classificado,25.23,Monitoramento,Monitorar oportunidade de aproximação em Roteiro.
90,Jacuípe,5432.0,6216,0.25445230124598,0.22872367201058,Baixa Prioridade,MAYARA CRISTINA CAVALCANTE DE FREITAS,JOSE SEVERINO DA SILVA,MDB,15,3718,73.58,MARCOS VINICIUS DA SILVA FERREIRA,PP,1335.0,26.42,2383.0,47.16,False,0,,Não visitado,850.3946125353365,não_classificado,não_classificado,JACUIPE,,,não_classificado,não_classificado,não_classificado,25.23,Monitoramento,Monitorar oportunidade de aproximação em Jacuípe.
91,Tanque d'Arca,5909.0,5959,0.24393199213719,0.22580341148182,Baixa Prioridade,JUVENIL LOPES DE OLIVEIRA,JEAN CEGALAN SANTOS DE LIMA,MDB,15,2326,50.71,ADRIANA WANDERLEY DOS SANTOS,REPUBLICANOS,2261.0,49.29,65.0,1.4200000000000017,False,0,,Não visitado,525.2187351067133,não_classificado,não_classificado,TANQUE D'ARCA,,,não_classificado,não_classificado,não_classificado,25.23,Monitoramento,Monitorar oportunidade de aproximação em Tanque d'Arca.
92,Coqueiro Seco,5700.0,5582,0.22849947644064,0.21305350841435,Baixa Prioridade,JADIELSON SILVA DO NASCIMENTO,JOEL BONFIM,MDB,15,2295,48.83,RONALDO ALEXANDRE SILVA DOS SANTOS,PDT,2150.0,45.74,145.0,3.0899999999999963,False,0,,Não visitado,488.9578018109332,não_classificado,não_classificado,COQUEIRO SECO,,,não_classificado,não_classificado,não_classificado,25.21,Monitoramento,Monitorar oportunidade de aproximação em Coqueiro Seco.
93,Jacaré dos Homens,5182.0,5451,0.223136984249,0.20447383279227,Baixa Prioridade,MARIA DO SOCORRO MELO DA SILVA,FRANKLIN DANTAS CORREIA CAJÉ,MDB,15,2574,56.95,JOSE ERNESTO SILVA JUNIOR,PP,1946.0,43.05,628.0,13.900000000000006,False,0,,Não visitado,526.3156456073029,não_classificado,não_classificado,JACARE DOS HOMENS,,,não_classificado,não_classificado,não_classificado,25.2,Monitoramento,Monitorar oportunidade de aproximação em Jacaré dos Homens.
94,Minador do Negrão,4938.0,5300,0.21695579095941,0.1978737789848,Baixa Prioridade,JOSIAS SOARES DA SILVA,HELDER ARAUJO SOUZA BARROS,MDB,15,2702,63.56,JOSE EMILIO TENORIO BARROS,PSB,1549.0,36.44,1153.0,27.120000000000005,False,0,,Não visitado,534.6549508169296,não_classificado,não_classificado,MINADOR DO NEGRAO,,,não_classificado,não_classificado,não_classificado,25.2,Monitoramento,Monitorar oportunidade de aproximação em Minador do Negrão.
95,Jaramataia,5075.0,5247,0.21478623304981,0.19763144473968,Baixa Prioridade,RICARDO MARTINS BARBOSA,JOSÉ ELIOMAR BARBOSA,MDB,15,3527,100.0,,,,,,,False,0,,Não visitado,697.0461055968514,não_classificado,não_classificado,JARAMATAIA,,,não_classificado,não_classificado,não_classificado,25.2,Monitoramento,Monitorar oportunidade de aproximação em Jaramataia.
96,Olho d'Água Grande,4384.0,5413,0.22158145216288,0.19595041784515,Baixa Prioridade,MARIA SUZANICE HIGINO BAHÉ,WILLAMARA SOUSA DA SILVA,PP,11,2813,63.27,TEREZA DE FATIMA BARBOSA CEDRIM,REPUBLICANOS,1633.0,36.73,1180.0,26.540000000000006,False,0,,Não visitado,551.2085253984069,não_classificado,não_classificado,OLHO D'AGUA GRANDE,,,não_classificado,não_classificado,não_classificado,25.2,Monitoramento,Monitorar oportunidade de aproximação em Olho d'Água Grande.
98,Palestina,4410.0,5118,0.20950561096797,0.18773955721004,Baixa Prioridade,JOSÉ DJALMA GONÇALVES DA SILVA,ONOFRE COSTA DA SILVA,MDB,15,3292,83.17,DINO CÉSAR DO NASCIMENTO,PP,666.0,16.83,2626.0,66.34,False,0,,Não visitado,618.0386223354517,não_classificado,não_classificado,PALESTINA,,,não_classificado,não_classificado,não_classificado,25.19,Monitoramento,Monitorar oportunidade de aproximação em Palestina.
100,Feliz Deserto,4038.0,4136,0.16930738705813,0.15613507390035,Baixa Prioridade,JORGE LUIS SILVA NUNES,JOAO PAULO DOS SANTOS SOUZA,PP,11,1918,56.23,DOUGLAS CASTRO SIMÕES LESSA,REPUBLICANOS,1395.0,40.9,523.0,15.329999999999998,False,0,,Não visitado,299.4670717408713,não_classificado,não_classificado,FELIZ DESERTO,,,não_classificado,não_classificado,não_classificado,25.16,Monitoramento,Monitorar oportunidade de aproximação em Feliz Deserto.
101,Mar Vermelho,3212.0,3643,0.14912640499342,0.13431298282833,Baixa Prioridade,ANDRÉ BRANDÃO DE ALMEIDA,HERMANN ELSON DE ALMEIDA FILHO,MDB,15,2540,100.0,,,,,,,False,0,,Não visitado,341.1549763839582,não_classificado,não_classificado,MAR VERMELHO,,,não_classificado,não_classificado,não_classificado,25.13,Monitoramento,Monitorar oportunidade de aproximação em Mar Vermelho.
102,Pindoba,2786.0,2989,0.12235487909012,0.11160409878201,Baixa Prioridade,JOSÉ CICERO CARDOSO COSTA,JOÃO MARÇAL LOPES BELTRÃO,REPUBLICANOS,10,1785,69.13,JOSÉ MAURICIO TENÓRIO CAVALCANTE,PP,797.0,30.87,988.0,38.25999999999999,False,0,,Não visitado,199.21331632588783,não_classificado,não_classificado,PINDOBA,,,não_classificado,não_classificado,não_classificado,25.11,Monitoramento,Monitorar oportunidade de aproximação em Pindoba.
32,Boca da Mata,21517.0,20100,0.82279460344984,0.77641869195003,Média Prioridade,BRUNO FEIJÓ TEIXEIRA,SERGIO MACIEL DA COSTA,PP,11,9227,61.4,AMANDA LARISSA BARROS ACIOLI DE MOURA,PSB,5801.0,38.6,3426.0,22.8,True,1,2026-06-08,Visitado,7164.015270622926,não_classificado,não_classificado,BOCA DA MATA,,,não_classificado,não_classificado,não_classificado,15.78,Monitoramento,Manter acompanhamento da articulação em Boca da Mata com BRUNO FEIJÓ TEIXEIRA (PP).
59,Maribondo,13968.0,11101,0.45442004442272,0.44822647402321,Baixa Prioridade,BRUNO ZEFERINO DO CARMO TEIXEIRA,JOSÉ UBIRATAN FERREIRA NUNES,PSB,40,5081,56.41,JORGE ANTÔNIO AMORIM MARQUES LUZ,PP,3927.0,43.59,1154.0,12.819999999999991,True,1,2026-05-31,Visitado,2277.43871451193,não_classificado,não_classificado,MARIBONDO,,,não_classificado,não_classificado,não_classificado,5.45,Monitoramento,Manter acompanhamento da articulação em Maribondo com BRUNO ZEFERINO DO CARMO TEIXEIRA (PSB).
61,Quebrangulo,11305.0,10470,0.4285900247820799,0.40533570257749,Baixa Prioridade,MANOEL COSTA TENÓRIO,ALFREDO FREDERICO MEDEIROS MAIA FILHO,PSDB,45,2964,36.01,EMANOEL CARDOSO DE ALBUQUERQUE,MDB,2959.0,35.95,5.0,0.0599999999999951,True,4,2026-05-30,Visitado,1201.4150224396803,não_classificado,não_classificado,QUEBRANGULO,,,não_classificado,não_classificado,não_classificado,5.41,Monitoramento,Manter acompanhamento da articulação em Quebrangulo com MANOEL COSTA TENÓRIO (PSDB).
77,Porto de Pedras,9508.0,8406,0.3441000714725999,0.32945103996158,Baixa Prioridade,ALLAN DE JESUS SILVA,EUDA SANTOS SILVA,MDB,15,3691,51.25,LUIZ CARLOS BORGHETTI ROCHA,PP,3497.0,48.56,194.0,2.6899999999999977,True,1,2026-05-22,Visitado,1216.0037884981916,não_classificado,não_classificado,PORTO DE PEDRAS,,,não_classificado,não_classificado,não_classificado,5.33,Monitoramento,Manter acompanhamento da articulação em Porto de Pedras com ALLAN DE JESUS SILVA (MDB).
97,Belém,4820.0,5142,0.21048805228552,0.19224701853784,Baixa Prioridade,ADALBERTO ANTERO TORRES,JOSÉ ADRIANO DA SILVA,PP,11,2568,68.55,LUIZ HENRIQUE DAMASCENO SURUAGY,PSB,1178.0,31.45,1390.0,37.1,True,1,2026-06-07,Visitado,493.6903436051731,não_classificado,não_classificado,BELEM,,,não_classificado,não_classificado,não_classificado,5.19,Monitoramento,Manter acompanhamento da articulação em Belém com ADALBERTO ANTERO TORRES (PP).
99,Jundiá,4176.0,4943,0.20234197636082,0.18054495917311,Baixa Prioridade,JORGE SILVIO LUENGO GALVÃO,LIELSON ELIAS BOMFIM,MDB,15,2927,73.51,BEROALDO RUFINO DA SILVA,PL,1055.0,26.49,1872.0,47.02000000000001,True,1,2026-05-08,Visitado,528.455095499693,não_classificado,não_classificado,JUNDIA,,,não_classificado,não_classificado,não_classificado,5.18,Monitoramento,Manter acompanhamento da articulação em Jundiá com JORGE SILVIO LUENGO GALVÃO (MDB).
